date,day_pnl,num_trades,num_wins,cum_pnl
2026-03-19,-211.75340399999845,3,1,-211.75340399999845
2026-03-20,143.48579999999933,3,2,-68.26760399999912
2026-03-23,-261.09000000000026,3,0,-329.35760399999936
2026-03-24,-158.78015714285527,3,1,-488.13776114285463
2026-03-25,-320.1535714285709,3,0,-808.2913325714255
2026-03-26,165.83082857142853,3,2,-642.460503999997
2026-03-27,-234.15857142857118,3,0,-876.6190754285681
